user,server,ilp_user,ilp_time,greedy_user,greedy_time,rl_lin_user,rl_lin_time,rl_exp_user,rl_exp_time
300.0,50.0,236.0,0.7817200850004156,228.0,0.1302856089987472,237.0,0.02155157800007146,237.0,0.022593936999328434
300.0,50.0,245.0,0.7163173039989488,245.0,0.13494687599995814,245.0,0.02173689499977627,245.0,0.022530926999024814
300.0,50.0,254.0,0.8582027179982106,254.0,0.15654753099988739,254.0,0.02654381799948169,254.0,0.02591352499985078
300.0,50.0,244.0,0.770494102000157,238.0,0.12937116000102833,245.0,0.021317710001312662,245.0,0.021604117000606493
300.0,50.0,249.0,0.7722154370003409,242.0,0.12117822499931208,251.0,0.021598911000182852,251.0,0.021317152999472455
300.0,50.0,233.0,0.9343444599999202,229.0,0.13184473699948285,247.0,0.02435498700106109,247.0,0.0228838060011185
300.0,50.0,234.0,0.7341926380013319,231.0,0.12887772600151948,235.0,0.020885881000140216,235.0,0.020438988000023528
300.0,50.0,238.0,0.7627183830009017,234.0,0.13577647999954934,238.0,0.023772033000568626,238.0,0.02384407099998498
300.0,50.0,230.0,0.8126475860008213,226.0,0.13470479200077534,230.0,0.02470447900122963,230.0,0.024097658000755473
300.0,50.0,234.0,0.7875484479991428,223.0,0.12350172600054066,249.0,0.021509346999664558,249.0,0.021160831000088365
300.0,50.0,267.0,0.7831516050009668,264.0,0.13550521000070148,269.0,0.022145760000057635,269.0,0.02200383499985037
300.0,50.0,262.0,0.8290765680012555,257.0,0.12969132299986086,269.0,0.02282833000026585,269.0,0.021927850999418297
300.0,50.0,250.0,0.7956410839997261,248.0,0.12528559000020323,251.0,0.021367273999203462,251.0,0.02114765099940996
300.0,50.0,255.0,0.8244033680002758,252.0,0.13050447100067686,255.0,0.021365919999880134,255.0,0.020895642001050874
300.0,50.0,241.0,0.7597020310004154,237.0,0.1254751819997182,249.0,0.023707414000455174,249.0,0.022939125999982934
300.0,50.0,244.0,0.7295025899984466,238.0,0.12185176599996339,246.0,0.020845487000769936,246.0,0.020480688001043745
300.0,50.0,261.0,0.8197394050002913,258.0,0.12875510400044732,263.0,0.020924993999869912,263.0,0.02043387500089011
300.0,50.0,255.0,0.778372032000334,251.0,0.12648611500117113,260.0,0.021199475000685197,260.0,0.021470321000379045
300.0,50.0,232.0,0.7571476850007457,229.0,0.12059682600011001,232.0,0.021585573000265867,232.0,0.021039744999143295
300.0,50.0,233.0,0.8065983640008199,230.0,0.1148451249991922,236.0,0.021008846999393427,236.0,0.020671076999860816
300.0,50.0,246.0,0.847259441999995,241.0,0.1485625440000149,251.0,0.025124457000856637,251.0,0.02690116499979922
300.0,50.0,216.0,0.7723326949999318,212.0,0.1642800890003855,216.0,0.02523554300023534,216.0,0.023373363001155667
300.0,50.0,240.0,0.8247770540001511,240.0,0.12601954899946577,240.0,0.023191666999991867,240.0,0.02268286800062924
300.0,50.0,254.0,0.7887377150000248,250.0,0.1336362519996328,258.0,0.02268964199902257,258.0,0.021583997999186977
300.0,50.0,247.0,0.7637046780000674,247.0,0.13887780500044755,247.0,0.022495172999697388,247.0,0.022418974998799968
300.0,50.0,228.0,0.8209502480003721,227.0,0.12023793800108251,228.0,0.021260857000015676,228.0,0.02147096800035797
300.0,50.0,254.0,0.7446424570007366,248.0,0.12224862099901657,262.0,0.021030936999522964,262.0,0.02069639100045606
300.0,50.0,237.0,0.7272621190004429,232.0,0.12321610499930102,241.0,0.02104565000081493,241.0,0.020562555000651628
300.0,50.0,236.0,0.8276363969998783,231.0,0.12411954700110073,240.0,0.02090064999902097,240.0,0.020490866001637187
300.0,50.0,260.0,0.79120499399869,255.0,0.13614944700020715,263.0,0.021673774999726447,263.0,0.021356514998842613
300.0,50.0,230.0,0.7261828279988549,228.0,0.12416178000057698,231.0,0.020861437998973997,231.0,0.020790233998923213
300.0,50.0,250.0,0.8103260170009889,244.0,0.12549272400065092,262.0,0.02096917000017129,262.0,0.02057952799987106
300.0,50.0,242.0,0.8092501529990841,241.0,0.13671647000046505,245.0,0.021115555000505992,245.0,0.022250022000662284
300.0,50.0,227.0,0.7239630770000076,226.0,0.12063427500106627,228.0,0.020822831000259612,228.0,0.021577823999905377
300.0,50.0,251.0,0.7496148780010117,250.0,0.14056804600113537,251.0,0.021987854999679257,251.0,0.02055564299917023
300.0,50.0,239.0,0.7523777309997968,237.0,0.13151460899825906,239.0,0.02249431000018376,239.0,0.021923928001342574
300.0,50.0,261.0,0.8809624260011333,256.0,0.14008488999934343,265.0,0.02104659900032857,265.0,0.020610691000911174
300.0,50.0,238.0,0.7534337479992246,235.0,0.1252587790004327,238.0,0.020705291999547626,238.0,0.020440065000002505
300.0,50.0,217.0,0.7734781999988627,213.0,0.12640710800042143,219.0,0.0212751439994463,219.0,0.020842468000410008
300.0,50.0,241.0,0.8221288690001529,234.0,0.12388512600045942,244.0,0.023638212000150816,244.0,0.020714339001642657
